labels,Area,Perim.,Circ.,Feret,MinFeret,AR,Round,Solidity,Esferoide,dia,Diameter,n_diam
0001u,2108.856028756772,158.5521,0.853148437652635,52.0548,39.89,1.2524390150802447,0.8019272388155173,0.9574,si,3,44.77996852144601,11.118207578823197
0001v,5494.716556190642,267.7438,0.765974508565705,108.6886,78.1359,1.3678967992113544,0.7295077817798337,0.9424,si,5,94.04524007519667,55.35494933435428
0001w,4604.334692508192,208.6327,0.8357488526980887,79.215,78.5711,1.0075045587383291,0.9921548424419714,0.9544,si,3,74.80203009749647,24.886112967629302
0001x,3293.4330595308,184.9685,0.8881986188644078,59.5354,55.6766,1.0392364791236828,0.9552145061257065,0.9792,si,3,57.87974151165808,19.42658795776885
000a0,12597.351183541194,393.5486,0.7414097201326513,115.4147,98.4842,1.1267054436489528,0.8889844913176027,0.9568,si,3,108.58777531477844,412.6696596546813
000aa,16817.19645408104,454.2548,0.7812793269131362,174.6411,127.8805,1.245296128552599,0.8112265683245025,0.9803,si,3,150.0083557707041,614.675788630297
000ab,11824.7664359685,395.9816,0.7038424697439041,139.6601,127.0346,1.2217539716020556,0.8304309653328747,0.9431,si,5,135.98014908863635,196.1469335229659
000ac,8140.11227579453,289.6437,0.8664189847713715,109.0145,87.7596,1.213420396060239,0.8344688802574793,0.9762,si,5,103.09791832867782,283.7840086148095
000ad,4431.883662573968,233.2795,0.8056358796111454,95.3512,99.1374,1.0392141005780517,0.9591270523686699,0.9543,si,5,101.0064123508854,145.27184812965166
000ae,4492.154966143349,193.8833,0.8731528283387888,72.0099,54.7479,1.2500609150402069,0.8041259152079874,0.9778,si,3,59.6654661435584,15.337501893976473
000ag,3198.61506688425,175.452,0.8841051463041367,81.6295,67.2102,1.0293756824359457,0.9654844478882854,0.9823,si,3,74.10773917074272,41.173193166601834
000ah,3968.084772659929,201.0245,0.8131223620930541,94.2943,63.2282,1.3690089060254216,0.7326757743452365,0.9507,si,5,79.00375015559328,318.10674888688607
000aj,2722.536589310416,177.8718,0.885507289058296,55.7215,64.0138,1.0076238216795808,0.991964881941878,0.983,si,3,58.60027104935746,10.039858470548282
000ak,20983.333852422016,532.2678,0.8518351342590904,193.0088,158.3622,1.0602488407811557,0.9414640817213104,0.9837,si,5,173.05418079826558,821.9194762147314
000am,14047.010666120945,424.6009,0.8446448459890235,136.3836,134.171,1.0230852386386378,0.9730776863734221,0.9829,si,3,136.0979611904588,195.57642961104102
000an,5903.70278460181,252.3987,0.712827528208436,91.2568,71.6841,1.2124135072050577,0.8301624595429675,0.9183,si,5,82.81883098053106,143.46094735548752
000aq,15018.846005019324,463.5565,0.848373312928743,123.9737,121.5603,1.1123242256224037,0.9063984753113907,0.9621,si,5,128.9846535831417,132.08457856046007
000ar,18381.184995451185,513.302,0.78545489822136,168.9975,141.4287,1.0612007966394654,0.936493354903869,0.9725,si,5,154.9692652589953,735.13918634575
000au,6691.897566769059,276.5448,0.7914396573050908,75.2687,73.5199,1.0176807481797145,0.9770100631587632,0.9435,si,3,73.58852744889116,72.51766014163692
000aw,6139.19407662075,257.0272,0.7724136999313487,119.2454,84.9421,1.239540131832513,0.8090644621973073,0.9302,si,3,103.442332308641,224.99989096996606
000ax,14727.621239418177,421.404,0.8150112540188275,139.1371,135.6044,1.0392724899047,0.9581303802466771,0.9758,si,5,138.19644972678023,191.3050900265921
000ay,8711.358540106567,283.8209,0.8121800475219061,134.2811,101.737,1.2446649686816817,0.8073617337040023,0.9675,si,3,116.38086176542882,254.06887657767854
