;labels;Area;X;Y;XM;YM;Perim.;BX;BY;Width;Height;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Esferoide;dia;Diameter;n_diam
49;Esferas_BT474_dia_0_well_2_100X_1_blob_34;315.6752;1027.9715;694.7215;1027.9715;694.7215;65.6036;1017.663;684.7826;20.3804;20.3804;0.9217;21.59;1505;1009;114.1455;20.1583;1.013;0.9871;0.9513;si;0;20.87415;1.4738657261210757
6;Esferas_BT474_dia_0_well_1_100X_1_blob_8;333.6742;1123.7169;318.7621;1123.7169;318.7621;67.3603;1112.7717;309.1033;21.7391;19.7011;0.9241;21.9083;1638;470;7.125;19.7011;1.0531;0.9496;0.9557;si;0;20.8047;1.4592036020514103
27;Esferas_BT474_dia_0_well_2_100X_1_blob_3;505.3572;1649.6734;26.9633;1649.6734;26.9633;85.2847;1636.5489;14.2663;25.8152;27.1739;0.8731;28.1827;2424;21;105.3763;25.5245;1.0173;0.983;0.9387;si;0;26.8536;3.137899764193272
78;Esferas_BT474_dia_0_well_2_100X_1_blob_8;874.1065;1596.3056;145.1846;1596.3056;145.1846;130.8776;1583.5598;123.6413;25.8152;44.1576;0.6413;45.0321;2343;247;78.6901;25.8152;1.9705;0.5075;0.8983;no;0;35.42365;7.202967322143303
41;Esferas_BT474_dia_0_well_2_100X_1_blob_23;302.7528;130.994;453.8447;130.994;453.8447;64.47800000000001;121.6033;443.6141;19.0217;20.3804;0.9151;21.5793;185;682;61.8214;19.0217;1.0803;0.9256;0.9473;si;0;20.3005;1.3556629403332832
34;Esferas_BT474_dia_0_well_2_100X_1_blob_12;562.1234;179.7087;192.4127;179.7087;192.4127;87.8373;166.4402;178.6685;26.4946;27.1739;0.9156;27.7537;246;275;158.459;26.4946;1.0072;0.9928;0.9625;si;0;27.12415;3.2337015298765097
35;Esferas_BT474_dia_0_well_2_100X_1_blob_14;323.5209;171.2659;236.8332;171.2659;236.8332;65.8367;161.0054;226.9022;20.3804;19.7011;0.9379;21.4829;243;336;124.6952;19.7011;1.0257;0.975;0.9623;si;0;20.592;1.4149044371711692
90;Esferas_BT474_dia_0_well_2_100X_1_blob_47;588.4297;1145.1638;936.189;1145.1638;936.189;107.1204;1127.7174;925.9511;36.0054;22.4185;0.6444;37.0727;1660;1384;13.7816;21.89;1.9526;0.5121;0.8873;no;0;29.48135;4.152155598762318
17;Esferas_BT474_dia_0_well_1_100X_1_blob_22;430.1306;596.689;1000.89;596.689;1000.89;77.2008;584.2391;989.1304;24.4565;23.0978;0.9069;24.6913;860;1475;7.9072;23.0978;1.0437;0.9581;0.9559;si;0;23.89455;2.2106912270964907
65;Esferas_BT474_dia_0_well_2_100X_1_blob_56;310.5986;680.0489;1088.1643;680.0489;1088.1643;67.7582;670.5163;1076.087;19.7011;21.7391;0.8501;23.1078;995;1584;114.3045;19.7011;1.0349;0.9662;0.9308;si;0;21.40445;1.5890725969311237
13;Esferas_BT474_dia_0_well_1_100X_1_blob_16;405.2088;1068.529;624.9327;1068.529;624.9327;75.2793;1057.0652;613.4511;23.0978;23.0978;0.8985;24.009;1557;912;154.8852;22.8198;1.0205;0.9799;0.9507;si;0;23.4144;2.0800827858443567
59;Esferas_BT474_dia_0_well_2_100X_1_blob_48;311.0601;1600.4235;947.4927;1600.4235;947.4927;65.0408;1590.3533;937.5;20.3804;19.7011;0.924;21.0707;2341;1390;159.2277;19.7011;1.0373;0.9641;0.9513;si;0;20.3859;1.3728439950388356
3;Esferas_BT474_dia_0_well_1_100X_1_blob_5;500.7421;1189.2841;212.6155;1189.2841;212.6155;84.5571;1175.9511;200.4076;26.4946;25.1359;0.8801;26.6336;1731;309;174.144;25.1359;1.0278;0.973;0.9493;si;0;25.88475;2.8103696347136573
2;Esferas_BT474_dia_0_well_1_100X_1_blob_3;282.9078;1314.2815;126.0988;1314.2815;126.0988;62.1586;1304.3478;116.8478;19.7011;18.3424;0.9201;20.437;1920;189;15.4222;18.3424;1.0395;0.962;0.9519;si;0;19.3897;1.1812580710195366
73;Esferas_BT474_dia_0_well_2_100X_1_blob_65;488.2812;1486.04;1286.6912;1486.04;1286.6912;85.2847;1472.8261;1274.4565;26.4946;25.1359;0.8436;29.3931;2169;1881;146.3099;23.5054;1.2153;0.8229;0.9446;si;0;26.44925;2.9982759742514147
5;Esferas_BT474_dia_0_well_1_100X_1_blob_7;406.1319;737.5332;271.2736;737.5332;271.2736;74.8814;725.5435;260.1902;23.7772;22.4185;0.9102;24.124;1068;401;9.7276;22.4185;1.0489;0.9533;0.955;si;0;23.27125;2.042164183920052
0;Esferas_BT474_dia_0_well_1_100X_1_blob_1;324.444;1129.2718;102.2051;1129.2718;102.2051;67.3603;1118.8859;92.3913;21.0598;19.7011;0.8985;22.2117;1648;157;23.4287;19.7011;1.0653;0.9387;0.95;si;0;20.9564;1.491356796983188
1;Esferas_BT474_dia_0_well_1_100X_1_blob_2;497.5115;1517.5528;126.1022;1517.5528;126.1022;82.8004;1504.7554;113.4511;25.8152;25.1359;0.9119;26.8751;2215;192;16.1443;25.1289;1.0475;0.9546;0.9569;si;0;26.002;2.8487332309604083
2;Esferas_BT474_dia_0_well_1_100X_1_blob_3;282.9078;1314.2815;126.0988;1314.2815;126.0988;62.1586;1304.3478;116.8478;19.7011;18.3424;0.9201;20.437;1920;189;15.4222;18.3424;1.0395;0.962;0.9519;si;0;19.3897;1.1812580710195366
3;Esferas_BT474_dia_0_well_1_100X_1_blob_5;500.7421;1189.2841;212.6155;1189.2841;212.6155;84.5571;1175.9511;200.4076;26.4946;25.1359;0.8801;26.6336;1731;309;174.144;25.1359;1.0278;0.973;0.9493;si;0;25.88475;2.8103696347136573
4;Esferas_BT474_dia_0_well_1_100X_1_blob_6;492.8964;1043.0782;247.7667;1043.0782;247.7667;82.0728;1030.5707;235.7337;25.1359;24.4565;0.9195;26.2232;1520;353;143.42700000000005;24.4565;1.0186;0.9817;0.9643;si;0;25.33985;2.6365963047688177
5;Esferas_BT474_dia_0_well_1_100X_1_blob_7;406.1319;737.5332;271.2736;737.5332;271.2736;74.8814;725.5435;260.1902;23.7772;22.4185;0.9102;24.124;1068;401;9.7276;22.4185;1.0489;0.9533;0.955;si;0;23.27125;2.042164183920052
6;Esferas_BT474_dia_0_well_1_100X_1_blob_8;333.6742;1123.7169;318.7621;1123.7169;318.7621;67.3603;1112.7717;309.1033;21.7391;19.7011;0.9241;21.9083;1638;470;7.125;19.7011;1.0531;0.9496;0.9557;si;0;20.8047;1.4592036020514103
7;Esferas_BT474_dia_0_well_1_100X_1_blob_9;385.8253;739.2418;346.0716;739.2418;346.0716;73.1247;727.5815;334.9185;23.0978;22.4185;0.9067;23.7286;1071;504;166.7595;22.2892;1.0607;0.9428;0.9489;si;0;23.0089;1.973872468878176
8;Esferas_BT474_dia_0_well_1_100X_1_blob_10;428.2845;73.7188;393.3592;73.7188;393.3592;77.2008;61.8207;381.7935;23.7772;23.7772;0.903;24.7286;97;565;127.1847;23.5382;1.0315;0.9694;0.9469;si;0;24.1334;2.2776503427034327
9;Esferas_BT474_dia_0_well_1_100X_1_blob_11;579.6609;355.2324;426.711;355.2324;426.711;89.9236;341.0326;413.7228;28.5326;26.4946;0.9008;29.1803;502;633;12.0948;26.4946;1.0762;0.9292;0.9551;si;0;27.83745;3.4955850222412503
10;Esferas_BT474_dia_0_well_1_100X_1_blob_13;431.9766;922.7293;514.6488;922.7293;514.6488;77.7636;910.3261;503.3967;25.1359;22.4185;0.8977;25.4642;1340;754;170.78900000000004;22.4185;1.1267;0.8876;0.9561;si;0;23.94135;2.2237063020503567
11;Esferas_BT474_dia_0_well_1_100X_1_blob_14;413.0546;653.8328;540.2466;653.8328;540.2466;76.4049;641.3043;529.212;24.4565;22.4185;;24.7286;945;790;159.0755;22.4185;1.0638;0.9401;0.9461;si;0;23.57355;2.122787329257127
12;Esferas_BT474_dia_0_well_1_100X_1_blob_15;482.2816;376.9799;586.7404;376.9799;586.7404;81.8397;364.1304;574.7283;25.1359;24.4565;0.9049;26.7977;538;854;149.5345;24.4565;1.0624;0.9413;0.9587;si;0;25.6271;2.7272811485099
13;Esferas_BT474_dia_0_well_1_100X_1_blob_16;405.2088;1068.529;624.9327;1068.529;624.9327;75.2793;1057.0652;613.4511;23.0978;23.0978;0.8985;24.009;1557;912;154.8852;22.8198;1.0205;0.9799;0.9507;si;0;23.4144;2.0800827858443567
14;Esferas_BT474_dia_0_well_1_100X_1_blob_17;498.4345;720.4647;650.129;720.4647;650.129;82.2377;707.8804;637.9076;25.1359;25.1359;0.9261;26.4597;1043;948;150.8025;25.1359;1.0239;0.9766;0.9626;si;0;25.7978;2.7821435496335827
15;Esferas_BT474_dia_0_well_1_100X_1_blob_19;527.5099;530.1484;906.4886;530.1484;906.4886;85.9158;516.9837;894.0217;26.4946;25.8152;0.898;27.6537;772;1316;117.8241;25.8152;1.0259;0.9747;0.9589;si;0;26.73445;3.096316033128773
16;Esferas_BT474_dia_0_well_1_100X_1_blob_21;695.5008;1020.1449;950.9803;1020.1449;950.9803;100.56;1004.7554;936.1413;31.25;29.8913;0.8643;31.6389;1480;1393;165.0686;29.4931;1.0504;0.952;0.9511;si;0;30.566;4.627509789655967
17;Esferas_BT474_dia_0_well_1_100X_1_blob_22;430.1306;596.689;1000.89;596.689;1000.89;77.2008;584.2391;989.1304;24.4565;23.0978;0.9069;24.6913;860;1475;7.9072;23.0978;1.0437;0.9581;0.9559;si;0;23.89455;2.2106912270964907
18;Esferas_BT474_dia_0_well_1_100X_1_blob_23;454.1293;1356.0086;1002.2348;1356.0086;1002.2348;79.3554;1343.75;990.4891;25.1359;23.0978;0.9062;26.0023;1979;1468;160.1448;23.0978;1.0669;0.9373;0.954;si;0;24.55005;2.3976658782254536
19;Esferas_BT474_dia_0_well_1_100X_1_blob_24;565.354;170.5354;1016.7976;170.5354;1016.7976;89.9236;157.6087;1002.7174;26.4946;27.8533;0.8786;28.4516;240;1479;123.3106;26.4946;1.0386;0.9628;0.95;si;0;27.4731;3.360117934968227
20;Esferas_BT474_dia_0_well_1_100X_1_blob_25;526.5869;1142.5836;1043.9108;1142.5836;1043.9108;85.5178;1129.0761;1031.25;27.1739;25.1359;0.9048;28.0102;1663;1529;157.1663;25.1359;1.0951;0.9132;0.9572;si;0;26.57305;3.0405750952320365
