labels,Area,Perim.,Circ.,Feret,MinFeret,AR,Round,Solidity,Esferoide,dia,Diameter,n_diam
00000,15848.2676,474.1609,0.7788503692383439,145.70931893635347,127.7317,1.153,0.8674,0.974,si,4,127.770344584701,521.4263208675861
00001,10181.0707,433.6711,0.784262113049526,131.55914037577955,128.6091,1.0748,0.931,0.9739,si,4,121.30705663793825,216.1074575524928
0000a,20784.2025,611.4172,0.7399423418567365,181.80027520247967,174.8398,1.0715,0.9323,0.9726,si,4,175.15392082181015,779.3712466673892
0000b,1083.9499,190.94,0.9098040730354243,55.19998816089409,53.5693,1.0905,0.9164,0.9768,si,4,52.98331509178081,8.74974929631651
0000c,1254.7693,191.1564,0.8697515038631075,56.38574166653738,50.7836,1.1148,0.8978,0.9725,si,4,51.05991243741022,9.517034472528326
0000d,1553.1612,234.4435,0.7939903945103255,70.180382359128,60.9059,1.185,0.8445,0.9318,si,4,61.09866356690397,14.589334075695763
0000e,1057.2775,137.2059,0.7537908027397987,45.36473598406622,35.785,1.0991,0.909,0.9589,si,4,39.83680550708717,8.699282515068658
0000f,1057.0971,128.1538,0.8699434781547317,42.12801529066303,35.1003,1.1259,0.8878,0.9646,si,4,38.32440665908656,8.699282656004302
0000g,3122.9706,201.5351,0.8806096589932868,61.41866430866902,60.8894,1.0669,0.9362,0.9649,si,4,55.61263902313936,72.67791607735343
0000h,4020.8746,313.2058,0.7258647677444565,99.45201555690716,66.5409,1.148,0.8717,0.9595,si,4,77.44010835064475,28.66635628058677
0000i,18573.4997,275.1549,0.8991775299060711,107.68668198957727,81.184,1.047,0.9536,0.9771,si,4,81.66110763762975,611.7724530306696
0000j,1082.7584,123.0022,0.8880296987042173,43.14828642608596,34.437,1.1601,0.8619,0.968,si,4,37.72998027080389,8.701123562757344
0000k,6715.0908,301.4156,0.9061790334236958,107.19763075345755,90.5499,1.1753,0.8516,0.9809,si,4,92.64508418175164,77.14563699360205
0000l,1059.4104,151.0332,0.7637930470590523,47.2020081911657,41.5469,1.0467,0.9541,0.971,si,4,43.68777859643788,8.699895607526377
0000m,3093.4319,312.9435,0.7892807892774002,84.53131417210096,91.5899,1.1259,0.889,0.9553,si,4,80.95901410171237,79.14591144396546
0000n,21462.2869,619.3706,0.8168128362056963,185.30111400565815,175.7514,1.1217,0.8915,0.976,si,4,178.29757384449542,784.6502596134286
0000o,1056.8734,121.2647,0.9090691389145429,40.61826243171815,35.1553,1.0726,0.9319,0.9684,si,4,37.65141496909474,8.699276083505282
0000p,16648.5028,550.8846,0.8159438775239989,155.4430768768999,161.8687,1.1145,0.8976,0.9603,si,4,151.8897047162092,717.3537940988313
0000q,5137.3934,373.0969,0.7927763341886054,116.3222635938929,105.7695,1.0922,0.9166,0.9592,si,4,103.20093872233826,68.9329148515219
0000r,2460.7515,186.7848,0.8802553485012512,61.3797579077122,57.621,1.1221,0.8921,0.9757,si,4,55.22510855531683,17.947722653032656
0000s,2586.8531,188.7442,0.7672008649323595,65.56613483522986,49.2957,1.1138,0.8976,0.9668,si,4,53.96475648381255,12.416913374674087
0000t,13588.0016,413.3964,0.8590335743783488,133.77914310560016,114.6494,1.1149,0.8969,0.9763,si,4,111.49377836290697,418.731528094502
0000u,12562.881,518.8942,0.7812696273820543,153.05168675639345,158.5478,1.1255,0.8882,0.9819,si,4,149.65316273563178,422.1092571391349
0000v,4575.984,371.0196,0.8687916141754192,112.3252096500425,112.4388,1.1176,0.8953,0.9694,si,4,103.52812504479193,96.84625675163527
0000w,12487.1044,479.7579,0.8384646783305469,145.04623111947222,140.8974,1.1591,0.8636,0.9781,si,4,135.4117656976564,353.71866730465075
0000x,13888.5296,385.4004,0.7606481113474756,123.6474617847523,105.2699,1.0501,0.9515,0.9693,si,4,102.240260316203,402.1263745655846
0000y,1323.0078,256.0171,0.8964832163978512,67.01271388105951,79.6226,1.0747,0.9298,0.9699,si,4,69.4586401851858,12.61930495430948
0000z,1066.5147,120.881,0.9140998172594914,41.02206264528948,34.5416,1.0994,0.9095,0.9774,si,4,37.58851230327516,8.700588061188958
00010,1081.2313,147.0754,0.8567246662904568,48.51991603766746,37.5345,1.1959,0.8358,0.9717,si,4,41.9476168965681,8.706706950382305
00011,1106.8642,147.2071,0.867208131237306,47.28197847567879,37.8524,1.1425,0.8763,0.9392,si,4,41.35117879523557,8.728902299552942
0001a,1080.7471,151.9337,0.8916491551337417,49.7502076262798,39.8416,1.1962,0.8358,0.9743,si,4,44.00081992372062,8.704391377292705
0001b,1085.7744,162.8832,0.9136355912108174,50.91765824873488,54.3236,1.0978,0.9108,0.9691,si,4,50.31070009028196,8.713309019819313
0001c,7140.4575,354.8929,0.819176396459217,110.27080255940038,97.3215,1.0994,0.9098,0.9733,si,4,93.41893889439307,134.17024363834886
0001d,21256.4143,533.9044,0.7716192674746357,169.55590816800483,147.244,1.0986,0.9097,0.973,si,4,147.08248020447456,780.1341812636537
0001e,5790.8716,302.3568,0.7534530530351903,95.32960145282097,76.0625,1.1547,0.8664,0.9419,si,4,76.28667857566641,112.49957450767545
0001f,1591.8641,171.5709,0.8772592465258434,59.80847725238452,45.0939,1.0309,0.97,0.9813,si,4,47.92987145144932,8.873607786165616
