labels,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Esferoide,dia,Diameter,n_diam
Esferas_BT474_dia_0_well_1_100X_1_blob_1,324.444,1129.2718,102.2051,1129.2718,102.2051,67.3603,1118.8859,92.3913,21.0598,19.7011,0.8985,22.2117,1648,157,23.4287,19.7011,1.0653,0.9387,0.95,si,0,20.9564,1.491356796983188
Esferas_BT474_dia_0_well_1_100X_1_blob_2,497.5115,1517.5528,126.1022,1517.5528,126.1022,82.8004,1504.7554,113.4511,25.8152,25.1359,0.9119,26.8751,2215,192,16.1443,25.1289,1.0475,0.9546,0.9569,si,0,26.002,2.8487332309604083
Esferas_BT474_dia_0_well_1_100X_1_blob_3,282.9078,1314.2815,126.0988,1314.2815,126.0988,62.1586,1304.3478,116.8478,19.7011,18.3424,0.9201,20.437,1920,189,15.4222,18.3424,1.0395,0.962,0.9519,si,0,19.3897,1.1812580710195366
Esferas_BT474_dia_0_well_1_100X_1_blob_5,500.7421,1189.2841,212.6155,1189.2841,212.6155,84.5571,1175.9511,200.4076,26.4946,25.1359,0.8801,26.6336,1731,309,174.144,25.1359,1.0278,0.973,0.9493,si,0,25.88475,2.8103696347136573
Esferas_BT474_dia_0_well_1_100X_1_blob_6,492.8964,1043.0782,247.7667,1043.0782,247.7667,82.0728,1030.5707,235.7337,25.1359,24.4565,0.9195,26.2232,1520,353,143.42700000000005,24.4565,1.0186,0.9817,0.9643,si,0,25.33985,2.6365963047688177
Esferas_BT474_dia_0_well_1_100X_1_blob_7,406.1319,737.5332,271.2736,737.5332,271.2736,74.8814,725.5435,260.1902,23.7772,22.4185,0.9102,24.124,1068,401,9.7276,22.4185,1.0489,0.9533,0.955,si,0,23.27125,2.0421641839200517
Esferas_BT474_dia_0_well_1_100X_1_blob_8,333.6742,1123.7169,318.7621,1123.7169,318.7621,67.3603,1112.7717,309.1033,21.7391,19.7011,0.9241,21.9083,1638,470,7.125,19.7011,1.0531,0.9496,0.9557,si,0,20.8047,1.4592036020514103
Esferas_BT474_dia_0_well_1_100X_1_blob_9,385.8253,739.2418,346.0716,739.2418,346.0716,73.1247,727.5815,334.9185,23.0978,22.4185,0.9067,23.7286,1071,504,166.7595,22.2892,1.0607,0.9428,0.9489,si,0,23.0089,1.973872468878176
Esferas_BT474_dia_0_well_1_100X_1_blob_10,428.2845,73.7188,393.3592,73.7188,393.3592,77.2008,61.8207,381.7935,23.7772,23.7772,0.903,24.7286,97,565,127.1847,23.5382,1.0315,0.9694,0.9469,si,0,24.1334,2.2776503427034327
Esferas_BT474_dia_0_well_1_100X_1_blob_11,579.6609,355.2324,426.711,355.2324,426.711,89.9236,341.0326,413.7228,28.5326,26.4946,0.9008,29.1803,502,633,12.0948,26.4946,1.0762,0.9292,0.9551,si,0,27.83745,3.4955850222412503
Esferas_BT474_dia_0_well_1_100X_1_blob_13,431.9766,922.7293,514.6488,922.7293,514.6488,77.7636,910.3261,503.3967,25.1359,22.4185,0.8977,25.4642,1340,754,170.78900000000004,22.4185,1.1267,0.8876,0.9561,si,0,23.94135,2.2237063020503567
Esferas_BT474_dia_0_well_1_100X_1_blob_14,413.0546,653.8328,540.2466,653.8328,540.2466,76.4049,641.3043,529.212,24.4565,22.4185,0.8891,24.7286,945,790,159.0755,22.4185,1.0638,0.9401,0.9461,si,0,23.57355,2.122787329257127
Esferas_BT474_dia_0_well_1_100X_1_blob_15,482.2816,376.9799,586.7404,376.9799,586.7404,81.8397,364.1304,574.7283,25.1359,24.4565,0.9049,26.7977,538,854,149.5345,24.4565,1.0624,0.9413,0.9587,si,0,25.6271,2.7272811485099
Esferas_BT474_dia_0_well_1_100X_1_blob_16,405.2088,1068.529,624.9327,1068.529,624.9327,75.2793,1057.0652,613.4511,23.0978,23.0978,0.8985,24.009,1557,912,154.8852,22.8198,1.0205,0.9799,0.9507,si,0,23.4144,2.0800827858443567
Esferas_BT474_dia_0_well_1_100X_1_blob_17,498.4345,720.4647,650.129,720.4647,650.129,82.2377,707.8804,637.9076,25.1359,25.1359,0.9261,26.4597,1043,948,150.8025,25.1359,1.0239,0.9766,0.9626,si,0,25.7978,2.7821435496335827
Esferas_BT474_dia_0_well_1_100X_1_blob_19,527.5099,530.1484,906.4886,530.1484,906.4886,85.9158,516.9837,894.0217,26.4946,25.8152,0.898,27.6537,772,1316,117.8241,25.8152,1.0259,0.9747,0.9589,si,0,26.73445,3.096316033128773
Esferas_BT474_dia_0_well_1_100X_1_blob_21,695.5008,1020.1449,950.9803,1020.1449,950.9803,100.56,1004.7554,936.1413,31.25,29.8913,0.8643,31.6389,1480,1393,165.0686,29.4931,1.0504,0.952,0.9511,si,0,30.566,4.627509789655967
Esferas_BT474_dia_0_well_1_100X_1_blob_22,430.1306,596.689,1000.89,596.689,1000.89,77.2008,584.2391,989.1304,24.4565,23.0978,0.9069,24.6913,860,1475,7.9072,23.0978,1.0437,0.9581,0.9559,si,0,23.89455,2.2106912270964907
Esferas_BT474_dia_0_well_1_100X_1_blob_23,454.1293,1356.0086,1002.2348,1356.0086,1002.2348,79.3554,1343.75,990.4891,25.1359,23.0978,0.9062,26.0023,1979,1468,160.1448,23.0978,1.0669,0.9373,0.954,si,0,24.55005,2.3976658782254536
Esferas_BT474_dia_0_well_1_100X_1_blob_24,565.354,170.5354,1016.7976,170.5354,1016.7976,89.9236,157.6087,1002.7174,26.4946,27.8533,0.8786,28.4516,240,1479,123.3106,26.4946,1.0386,0.9628,0.95,si,0,27.4731,3.360117934968227
