labels,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Esferoide,dia,Diameter,n_diam
Esferas_BT474_dia_1_well_1_100X_1_blob_6,515.5105,764.1602,86.5956,764.1602,86.5956,94.5625,752.038,69.9728,24.4565,32.6087,0.7245,34.7199,1111,149,59.4208,19.2591,1.9824,0.5044,0.899,si,1,26.9895,3.185781873621864
Esferas_BT474_dia_1_well_2_100X_2_blob_61,1207.3192,811.3922,778.9824,811.3922,778.9824,131.0424,791.4402,759.5109,40.0815,38.7228,0.8835,40.6985,1179,1121,123.4248,38.7228,1.0373,0.964,0.9682,si,1,39.71065,10.14734689567994
Esferas_BT474_dia_1_well_2_100X_1_blob_20,475.3589,1465.0499,791.3894,1465.0499,791.3894,81.8397,1452.4457,779.212,25.8152,24.4565,0.8919,26.4946,2139,1157,157.3801,24.2621,1.0763,0.9291,0.9519,si,1,25.37835,2.648632279299652
Esferas_BT474_dia_1_well_1_100X_1_blob_90,1349.4654,1227.9468,855.2971,1227.9468,855.2971,143.1058,1207.8804,832.2011,41.4402,43.4783,0.8281,44.6978,1789,1287,65.7723,39.8361,1.0983,0.9105,0.9475,si,1,42.26695,12.235852982214016
Esferas_BT474_dia_1_well_2_100X_2_blob_1,914.7197,75.1605,24.8651,75.1605,24.8651,113.9139,57.0652,8.8315,36.6848,31.9293,0.8858,37.8489,85,26,158.9625,31.9293,1.1711,0.8539,0.964,si,1,34.8891,6.8817805491633655
Esferas_BT474_dia_1_well_2_100X_2_blob_12,935.0263,1238.0584,197.4183,1238.0584,197.4183,125.8408,1221.4674,176.6304,35.3261,40.7609,0.742,41.7066,1811,260,102.2251,34.8044,1.0194,0.981,0.9153,si,1,38.2555,9.072211525723263
Esferas_BT474_dia_1_well_1_100X_1_blob_105,1001.9457,1112.6151,1039.7775,1112.6151,1039.7775,118.7176,1093.75,1023.0978,37.3641,34.6467,0.8934,37.8976,1611,1521,165.4655,34.6467,1.0777,0.9279,0.9701,si,1,36.27215,7.733060647001241
Esferas_BT474_dia_1_well_1_100X_2_blob_5,660.4258,95.3078,305.9869,95.3078,305.9869,119.7466,80.163,291.4402,31.9293,28.5326,0.5788,36.7099,121,463,38.991,27.1928,1.1993,0.8338,0.8992,no,1,31.95135,5.285659195392193
Esferas_BT474_dia_1_well_1_100X_1_blob_57,435.6687,562.2129,523.6203,562.2129,523.6203,81.6066,550.2717,511.5489,25.8152,23.7772,0.8221,26.6941,810,776,14.7436,22.5282,1.1336,0.8821,0.9337,si,1,24.61115,2.415612353610628
Esferas_BT474_dia_1_well_2_100X_3_blob_39,816.4173,1221.221,630.4035,1221.221,630.4035,108.246,1203.8043,614.1304,34.6467,32.6087,0.8756,37.7756,1776,910,142.3058,27.8857,1.3611,0.7347,0.9601,si,1,32.83065,5.734162068465443
