labels;Area;X;Y;XM;YM;Perim.;BX;BY;Width;Height;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Esferoide;dia;Diameter;n_diam
Esferas_BT474_dia_2_well_2_100X_2_blob_6;4970.9616;1168.5804;326.2625;1168.5804;326.2625;275.0807;1126.3587;286.0054;78.8043;81.5217;0.8255;86.1165;1692;537;60.1991;78.8043;1.0552;0.9477;0.9617;si;2;82.46039999999998;90.85897462026573
Esferas_BT474_dia_2_well_2_100X_1_blob_23;1532.6862;1271.3131;718.69;1271.3131;718.69;160.6323;1249.3207;692.9348;41.4402;53.6685;0.7464;58.8372;1847;1024;121.3041;37.4196;1.6912;0.5913;0.9514;no;2;48.1284;18.06490957541225
Esferas_BT474_dia_2_well_2_100X_2_blob_28;539.5092;244.1907;1283.9218;244.1907;1283.9218;87.0414;230.9783;1270.3804;26.4946;27.1739;0.8949;29.6199;345;1873;126.6071;24.1174;1.199;0.8340000000000001;0.9566;no;2;26.86865;3.143178594259652
Esferas_BT474_dia_2_well_2_100X_5_blob_1;329.9821;1329.9469;28.3231;1329.9469;28.3231;67.0306;1319.2935;18.3424;20.3804;19.7011;0.9229;22.4288;1944;51;35.1342;19.7011;1.0602;0.9432;0.961;si;2;21.06495;1.5146518433060503
Esferas_BT474_dia_2_well_2_100X_5_blob_13;715.8074;1544.757;1027.712;1544.757;1027.712;100.958;1529.2120000000002;1012.9076;31.25;29.8913;0.8825;32.2171;2253;1502;155.0561;29.8913;1.0494;0.9529;0.9565;si;2;31.0542;4.852801832078776
Esferas_BT474_dia_2_well_1_100X_4_blob_21;2600.1669;1425.7789;822.1873;1425.7789;822.1873;219.8404;1396.0598;790.0815;60.462;59.7826;0.6761;62.8901;2059;1186;153.7117;55.6757;1.1402;0.8771;0.9429;si;2;59.2829;33.76135283975775
Esferas_BT474_dia_2_well_2_100X_2_blob_10;1303.314;605.494;756.4641;605.494;756.4641;134.8854;584.9185;736.413;42.7989;40.7609;0.9002;44.053;863;1129;19.8321;38.9101;1.1184;0.8942;0.9709;si;2;41.48155;11.566353128748364
Esferas_BT474_dia_2_well_1_100X_1_blob_6;1576.0685;660.5004;613.7195;660.5004;613.7195;151.1897;638.587;590.3533;45.5163;45.5163;0.8664;48.5056;946;881;142.9696;42.8983;1.0876;0.9194;0.9648;si;2;45.70195;15.46805516923208
Esferas_BT474_dia_2_well_2_100X_1_blob_37;1156.5528;1019.5786;1167.6325;1019.5786;1167.6325;129.3541;1000.6793;1148.7772;37.3641;40.7609;0.8686;42.4144;1488;1747;58.0919;37.3641;1.1382;0.8786;0.9691;no;2;39.88925;10.28487770886688
Esferas_BT474_dia_2_well_2_100X_2_blob_25;3258.2851;1118.5709;1267.6742;1118.5709;1267.6742;224.2462;1083.5598;1232.337;69.9728;68.6141;0.8142;71.68;1595;1855;165.1735;62.5332;1.0561;0.9469;0.9444;si;2;67.1066;48.969675543474274
Esferas_BT474_dia_2_well_2_100X_3_blob_7;746.7288;623.2676;879.1080000000003;623.2676;879.1080000000003;110.6337;605.2989;862.0924;34.6467;31.9293;0.7667;35.7546;891;1291;165.6997;29.7322;1.219;0.8204;0.9193;no;2;32.7434;5.688566515171478
Esferas_BT474_dia_2_well_2_100X_5_blob_6;422.2848;437.343;528.3785;437.343;528.3785;77.7636;425.2717;516.3043;24.4565;23.7772;0.8775;25.2092;626;785;14.0362;23.2565;1.0685;0.9359;0.9457;no;2;24.23285;2.305924066786181
Esferas_BT474_dia_2_well_2_100X_3_blob_5;1009.33;533.0055;747.1424;533.0055;747.1424;122.0661;516.9837;726.9022;32.6087;40.0815;0.8512;43.0784;763;1123;52.0458;30.7269;1.4136;0.7074;0.9662;no;2;36.90265;8.143370276802564
Esferas_BT474_dia_2_well_2_100X_2_blob_15;6859.9362;1471.6468;967.2977;1471.6468;967.2977;405.8218;1429.3478;913.0435;85.5978;127.7174;0.5234;128.368;2149;1532;84.2291;85.5978;1.5213;0.6573;0.8856;si;2;106.9829;198.41505350708977
Esferas_BT474_dia_2_well_1_100X_4_blob_22;1245.1633;1204.9160000000004;819.6903;1204.9160000000004;819.6903;151.656;1190.2174;792.1196;30.5707;53.6685;0.6803;54.0455;1763;1166;104.5603;29.3831;1.894;0.528;0.9291;no;2;41.7143;11.762141517511564
Esferas_BT474_dia_2_well_1_100X_4_blob_1;1037.9438;1096.3688;33.0339;1096.3688;33.0339;123.1916;1079.4837;13.587;34.6467;39.4022;0.8595;43.8166;1597;78;60.2551;32.6768;1.32;0.7576;0.9548;no;2;38.2467;9.065952261191288
Esferas_BT474_dia_2_well_1_100X_2_blob_4;3272.1305;1040.5897;574.0809;1040.5897;574.0809;221.8985;1008.8315;540.7609;64.538;67.2554;0.8351;70.2493;1501;807;127.5348;62.5856;1.0908;0.9168;0.9659;si;2;66.41745;47.47643630520956
Esferas_BT474_dia_2_well_2_100X_5_blob_1;329.9821;1329.9469;28.3231;1329.9469;28.3231;67.0306;1319.2935;18.3424;20.3804;19.7011;0.9229;22.4288;1944;51;35.1342;19.7011;1.0602;0.9432;0.961;si;2;21.06495;1.5146518433060503
Esferas_BT474_dia_2_well_2_100X_5_blob_2;400.1322;887.0398;80.2512;887.0398;80.2512;73.193;875.6793;69.2935;22.4185;21.7391;0.9386;24.0953;1289;112;158.4986;21.7391;1.0433;0.9585;0.9687;si;2;22.9172;1.9503663011734829
Esferas_BT474_dia_2_well_2_100X_5_blob_3;1075.7879;976.4809;148.8248;976.4809;148.8248;122.9585;957.8804;129.7554;36.6848;38.7228;0.8942;40.1448;1429;247;66.0375;35.5532;1.1154;0.8965;0.9672;si;2;37.849;8.786071812639316
Esferas_BT474_dia_2_well_2_100X_5_blob_4;2202.3423;1428.3701;166.4228;1428.3701;166.4228;184.6226;1400.8152;141.3043;52.9891;57.7446;0.8119;59.5854;2074;216;118.6105;52.8647;1.0493;0.953;0.947;si;2;56.22505;28.80189553237809
Esferas_BT474_dia_2_well_2_100X_5_blob_7;3888.251;1267.902;569.1258;1267.902;569.1258;250.2662;1235.0543;528.5326;63.8587;80.8424;0.7801;85.0895;1828;793;128.5169;58.1874;1.4595;0.6852;0.9583;si;2;71.63845;59.57582456558927
Esferas_BT474_dia_2_well_2_100X_5_blob_8;850.1078;392.7191;602.6479;392.7191;602.6479;109.275;376.3587;586.9565;33.9674;32.6087;0.8946;36.2163;554;874;156.8014;31.5798;1.1489;0.8704;0.9657;si;2;33.89805;6.311835441776973
Esferas_BT474_dia_2_well_2_100X_5_blob_10;546.8935;1271.3748;795.0694;1271.3748;795.0694;86.3137;1258.1522;781.9293;26.4946;25.8152;0.9225;28.6698;1854;1159;143.6732;25.5203;1.0966;0.9119;0.9673;si;2;27.09505;3.223304913373683
Esferas_BT474_dia_2_well_2_100X_5_blob_13;715.8074;1544.757;1027.712;1544.757;1027.712;100.958;1529.2120000000002;1012.9076;31.25;29.8913;0.8825;32.2171;2253;1502;155.0561;29.8913;1.0494;0.9529;0.9565;si;2;31.0542;4.852801832078776
Esferas_BT474_dia_2_well_2_100X_5_blob_14;3363.0486;560.5019;1106.5037;560.5019;1106.5037;234.7861;528.5326;1072.6902;69.9728;66.5761;0.7667;72.8044;787;1590;130.0794;62.7151;1.1483;0.8708;0.9368;si;2;67.75975;50.41350639577568
Esferas_BT474_dia_2_well_2_100X_4_blob_1;3429.9681;1220.0737;218.3156;1220.0737;218.3156;228.6237;1184.7826;181.3859;66.5761;71.3315;0.8246;81.2524;1751;360;47.3718;56.5493;1.4239;0.7023;0.9732;si;2;68.90084999999999;53.003586690889065
Esferas_BT474_dia_2_well_2_100X_4_blob_2;2257.2624;1429.2987;211.1549;1429.2987;211.1549;178.8582;1400.1359;186.1413;55.7065;50.9511;0.8867;57.4722;2067;330;32.9387;50.713;1.1129;0.8985;0.9775;si;2;54.0926;25.647503026252192
Esferas_BT474_dia_2_well_2_100X_4_blob_3;2265.5696;803.7307;274.0702;803.7307;274.0702;181.2742;777.8533;243.2065;52.9891;57.7446;0.8664;60.1674;1170;359;115.4077;49.1831;1.2094;0.8269;0.971;si;2;54.67525000000001;26.48523632053697
Esferas_BT474_dia_2_pozo_^~2_100X_4_blob_6;450.8987;134.40200000000002;654.0482;134.40200000000002;654.0482;80.5493;120.9239;644.0217;27.1739;19.7011;0.8733;28.1827;178;957;164.6237;19.7011;1.4015;0.7135;0.9593;si;2;23.9419;2.223859559894586
Esferas_BT474_dia_2_well_2_100X_4_blob_9;11736.749;1117.3865;1111.6127;1117.3865;1111.6127;478.1106;1046.875;1048.913;150.8152;118.2065;0.6452;157.3537;1544;1608;159.5308;116.0961;1.288;0.7764;0.9216;si;2;136.7249;414.16592319459886
Esferas_BT474_dia_2_well_2_100X_4_blob_11;4224.6943;183.4449;1108.6888;183.4449;1108.6888;288.9174;139.2663;1066.5761;82.2011;76.7663;0.636;84.4607;206;1655;16.8317;71.6172;1.1445;0.8737;0.9415;si;2;78.03895;77.01330689666881
Esferas_BT474_dia_2_well_1_100X_4_blob_2;3638.5722;519.4129;81.5541;519.4129;81.5541;262.3862;483.6957;42.7989;75.4076;73.3696;0.6641;81.6857;725;79;136.3479;64.9721;1.3872;0.7209;0.9116;si;2;73.3289;63.89355174413748
Esferas_BT474_dia_2_pozo_^~1_100X_4_blob_3;4370.5325;995.4043;109.6659;995.4043;109.6659;261.5221;959.2391;69.9728;71.3315;86.9565;0.8029999999999999;89.3852;1441;107;109.5367;69.8771;1.2272;0.8149;0.964;si;2;79.63114999999998;81.82395789759455
Esferas_BT474_dia_2_well_1_100X_4_blob_4;971.4859;487.3152;167.8894;487.3152;167.8894;117.6603;468.0707;152.8533;38.0435;31.25;0.8818;38.7705;689;249;11.113;31.0075;1.2147;0.8233;0.9674;si;2;34.889;6.881721375144907
Esferas_BT474_dia_2_well_1_100X_4_blob_5;5800.7628;1019.7243;222.8471;1019.7243;222.8471;324.8462;975.5435;167.7989;84.2391;99.8641;0.6908;100.7933;1485;390;73.1528;83.6108;1.1357;0.8805;0.9378;si;2;92.20205;127.01448492103984
Esferas_BT474_dia_2_well_1_100X_4_blob_10;790.5726;522.1688;472.1223;522.1688;472.1223;104.0733;506.1141;456.5217;31.9293;31.25;0.9172;32.9256;746;686;158.1986;31.25;1.0229;0.9776;0.9675;si;2;32.0878;5.3536668970810135
Esferas_BT474_dia_2_well_1_100X_4_blob_11;851.4923;1092.7899;546.4540000000002;1092.7899;546.4540000000002;114.147;1075.4076;530.5707;33.9674;31.9293;0.8212;37.3641;1593;825;53.1301;31.7222;1.0454;0.9566;0.9567;si;2;34.54315;6.679090610955415
Esferas_BT474_dia_2_well_1_100X_4_blob_13;1495.7652;1201.9052;624.2587;1201.9052;624.2587;147.1137;1177.9891;603.9402;48.913;40.0815;0.8685;49.597;1735;931;13.4652;39.8708;1.2182;0.8209;0.9663;si;2;44.73390000000001;14.50580408462591
Esferas_BT474_dia_2_well_1_100X_4_blob_14;931.7957;204.1797;636.6938;204.1797;636.6938;114.0787;187.5;618.2065;33.9674;35.3261;0.8997;37.5121;278;922;144.5829;33.1456;1.1359;0.8803;0.9665;si;2;35.32885;7.145292673092391
