;labels;Area;X;Y;XM;YM;Perim.;BX;BY;Width;Height;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Esferoide;dia;Diameter;n_diam
625;Esferas_BT474_dia_3_well_2_100X_5_blob_5;526.1254;1133.0777;1164.0536;1133.0777;1164.0536;87.1379;1119.5652;1150.1359;27.1739;27.1739;0.8707;30.3358;1656;1695;124.0459;22.0971;1.3102;0.7633;0.9552;no;3;26.21645;2.9198004348139848
597;Esferas_BT474_dia_3_well_2_100X_3_blob_2;14646.5914;1014.4278;807.4839;1014.4278;807.4839;606.5156;956.5217;698.3696;118.8859;203.8043;0.5003;211.2815;1464;1030;106.6287;118.4902;1.7856;0.56;0.8462;no;3;164.88585;726.4097790838167
619;Esferas_BT474_dia_3_well_2_100X_4_blob_4;6835.9375;1182.4718;1074.3251;1182.4718;1074.3251;322.9813;1130.4348;1027.1739;103.9402;97.1467;0.8235;112.1438;1681;1521;141.3944;78.8385;1.4369;0.6959;0.9725;no;3;95.49115;141.09801063564638
604;Esferas_BT474_dia_3_well_2_100X_5_blob_4;1025.0214;998.1092;1163.0063;998.1092;1163.0063;119.6783;980.9783;1144.0217;35.3261;37.3641;0.8993;39.9662;1454;1686;121.7989;34.5867;1.1583;0.8633;0.9688;si;3;37.27645;8.39334660002223
608;Esferas_BT474_dia_3_well_1_100X_4_blob_1;5457.8583;717.9765;302.01;717.9765;302.01;312.5497;663.0435;263.587;100.5435;78.125;0.7021;106.7787;976;411;156.3706;77.3172;1.3316;0.7509999999999999;0.9267;si;3;92.04795;126.3786995713627
629;Esferas_BT474_dia_3_well_2_100X_2_blob_3;10171.7569;1135.0413;804.8659;1135.0413;804.8659;431.7618;1066.5761;748.6413;129.7554;108.6957;0.6857;140.1055;1575;1222;28.0561;98.4705;1.4055;0.7115;0.9504;no;3;119.288;275.0564233807861
602;Esferas_BT474_dia_3_well_1_100X_5_blob_2;20493.5056;1030.7279;427.9486;1030.7279;427.9486;565.0388;938.8587;358.6957;189.538;140.625;0.8066;191.9575;1386;667;16.4468;139.6029;1.4014;0.7136;0.9754;si;3;165.7802;738.294269605237
591;Esferas_BT474_dia_3_well_1_100X_1_blob_1;4635.9028;873.6519999999997;124.2614;873.6519999999997;124.2614;270.5384;828.125;89.6739;85.5978;72.6902;0.7959999999999999;87.0122;1219;184;10.3449;70.6406;1.1917;0.8392;0.9503;si;3;78.8264;79.3682122895084
592;Esferas_BT474_dia_3_well_1_100X_1_blob_2;5901.8342;884.7812;574.3885;884.7812;574.3885;294.2673;844.4293;529.8913;82.8804;88.3152;0.8565;92.9913;1258;900;49.4441;82.4971;1.0490000000000002;0.9533;0.977;si;3;87.7442;109.46789726075974
593;Esferas_BT474_dia_3_well_1_100X_1_blob_4;11259.0826;995.041;1108.8625;995.041;1108.8625;408.9654;934.1033;1049.5924;121.6033;122.2826;0.8459;127.6107;1429;1722;62.7529;118.3457;1.0311;0.9699;0.9793;si;3;122.9782;301.3810323400815
