labels,Area,Perim.,Circ.,Round,Solidity,Esferoide,dia,Diameter,n_diam
Esferas_BT474_dia_0_well_1_100X_1_blob_1,324.444,67.3603,0.8985,0.9387,0.95,si,0,20.9564,1.491356796983188
Esferas_BT474_dia_0_well_1_100X_1_blob_2,497.5115,82.8004,0.9119,0.9546,0.9569,si,0,26.002,2.8487332309604083
Esferas_BT474_dia_0_well_1_100X_1_blob_3,282.9078,62.1586,0.9201,0.962,0.9519,si,0,19.3897,1.1812580710195366
Esferas_BT474_dia_0_well_1_100X_1_blob_5,500.7421,84.5571,0.8801,0.973,0.9493,si,0,25.88475,2.8103696347136573
Esferas_BT474_dia_0_well_1_100X_1_blob_6,492.8964,82.0728,0.9195,0.9817,0.9643,si,0,25.33985,2.6365963047688177
Esferas_BT474_dia_0_well_1_100X_1_blob_7,406.1319,74.8814,0.9102,0.9533,0.955,si,0,23.27125,2.042164183920052
Esferas_BT474_dia_0_well_1_100X_1_blob_8,333.6742,67.3603,0.9241,0.9496,0.9557,si,0,20.8047,1.4592036020514103
Esferas_BT474_dia_0_well_1_100X_1_blob_9,385.8253,73.1247,0.9067,0.9428,0.9489,si,0,23.0089,1.973872468878176
Esferas_BT474_dia_0_well_1_100X_1_blob_10,428.2845,77.2008,0.903,0.9694,0.9469,si,0,24.1334,2.2776503427034327
Esferas_BT474_dia_0_well_1_100X_1_blob_11,579.6609,89.9236,0.9008,0.9292,0.9551,si,0,27.83745,3.4955850222412503
Esferas_BT474_dia_0_well_1_100X_1_blob_13,431.9766,77.7636,0.8977,0.8876,0.9561,si,0,23.94135,2.2237063020503567
Esferas_BT474_dia_0_well_1_100X_1_blob_14,413.0546,76.4049,0.8891,0.9401,0.9461,si,0,23.57355,2.122787329257127
Esferas_BT474_dia_0_well_1_100X_1_blob_15,482.2816,81.8397,0.9049,0.9413,0.9587,si,0,25.6271,2.7272811485099
Esferas_BT474_dia_0_well_1_100X_1_blob_16,405.2088,75.2793,0.8985,0.9799,0.9507,si,0,23.4144,2.0800827858443567
Esferas_BT474_dia_0_well_1_100X_1_blob_17,498.4345,82.2377,0.9261,0.9766,0.9626,si,0,25.7978,2.7821435496335827
Esferas_BT474_dia_0_well_1_100X_1_blob_19,527.5099,85.9158,0.898,0.9747,0.9589,si,0,26.73445,3.096316033128773
Esferas_BT474_dia_0_well_1_100X_1_blob_21,695.5008,100.56,0.8643,0.952,0.9511,si,0,30.566,4.627509789655967
Esferas_BT474_dia_0_well_1_100X_1_blob_22,430.1306,77.2008,0.9069,0.9581,0.9559,si,0,23.89455,2.2106912270964907
Esferas_BT474_dia_0_well_1_100X_1_blob_23,454.1293,79.3554,0.9062,0.9373,0.954,si,0,24.55005,2.3976658782254536
Esferas_BT474_dia_0_well_1_100X_1_blob_24,565.354,89.9236,0.8786,0.9628,0.95,si,0,27.4731,3.360117934968227
Esferas_BT474_dia_0_well_1_100X_1_blob_25,526.5869,85.5178,0.9048,0.9132,0.9572,si,0,26.57305,3.0405750952320365
Esferas_BT474_dia_0_well_1_100X_1_blob_26,585.1991,89.7588,0.9128,0.9731,0.965,si,0,27.9853,3.55157851804366
Esferas_BT474_dia_0_well_1_100X_1_blob_27,510.4339,85.4496,0.8785,0.9372,0.9457,si,0,26.31795,2.9538449315750825
Esferas_BT474_dia_0_well_1_100X_1_blob_28,690.4241,98.0758,0.902,0.9806,0.9602,si,0,30.39195,4.548908676283927
Esferas_BT474_dia_0_well_1_100X_1_blob_29,778.5732,108.8088,0.8264,0.9289,0.943,si,0,32.67895,5.655041566184673
Esferas_BT474_dia_0_well_2_100X_1_blob_1,390.4404,71.9992,0.9465,0.9581,0.9663,si,0,22.73385,1.9039278662383785
